"gene_id"	"expo_RPKM_rep1"	"expo_RPKM_rep2"	"stat_RPKM_rep1"	"stat_RPKM_rep2"
"TK1162"	152.850353139557	181.212132350912	136.391115596577	109.253784046004
"TK1163"	730.292468074817	789.829796664325	620.462059823286	476.635010093168
"TK1164"	219.325522237048	279.432014052389	177.153537819319	184.042426890115
"TK1165"	602.089771408327	314.948669036023	446.125203140408	543.92678362374
"TK1166"	287.677929768622	294.480350805626	216.626378761907	494.024878204508
"TK1167"	780.191302134604	675.340635857839	478.992313760531	756.981655888364
"TK1168"	377.218518410149	313.891607613715	237.269896596725	393.335263180663
"TK1169"	249.039212853302	216.430721213922	171.145017835339	400.208547257968
"TK1170"	877.13125304852	789.551246436767	1040.78038791787	1455.39606567318
"TK1171"	215.563625057423	153.523079767236	275.041273056286	296.588089414781
"TK1172"	689.935537903934	498.267554957754	929.400602506417	1143.39928489845
"TK1173"	674.525050415935	620.945144725475	504.508424877916	603.05454106609
"TK1174"	633.542518699212	561.58166487547	490.863545126376	683.746283364718
"TK1175"	73.6286045086655	86.7109108602191	76.2822441760768	81.7013772820032
"TK1176"	128.180786443541	137.337700815031	138.754330892775	85.4623499356336
"TK1177"	1770.57547760393	2045.97654265113	1458.66439346695	826.002694665089
"TK1178"	209.535559479754	256.534856102749	198.691142654842	241.125915889823
"TK1179"	89.4700590552061	55.2846375120947	119.031025833265	94.3175685900112
"TK1180"	78.7559169320391	60.4965827229855	112.320985130519	122.109320519172
"TK1181"	71.9263899048502	96.3712618324327	66.801310564613	69.3533858826197
"TK1182"	296.42747373812	337.396160701913	204.062455529412	223.291768489241
"TK1183"	165.188841192812	240.821780072727	225.133717527769	240.868379161287
"TK1184"	34.5651675481353	37.3581497046409	50.4204687114594	26.4742640311239
"TK1185"	33.932884126276	21.3158241499624	37.8799111796448	40.461678832993
"TK1186"	1899.29191538956	3319.35585580774	2395.01956933533	1946.07245352871
"TK1187"	142.060280082625	125.136647232482	200.333771146304	96.1867186717652
"TK1188"	137.320004176349	149.054764209425	213.766729524414	157.703062334195
"TK1189"	69.1962661436141	88.0582655953031	83.422185743661	64.9317762200757
"TK1190"	875.814734587902	507.837058218545	460.26376916456	578.754093754336
"TK1191"	3226.225618038	1603.10300877971	1878.56847630794	2904.16222944369
"TK1192"	225.81667353282	218.557190311403	263.108614109275	290.405547782952
"TK1193"	886.448090595629	468.387038399714	572.373989498652	938.297598996627
"TK1194"	1008.27836078313	491.273855255156	498.122242284524	616.228523220095
"TK1195"	497.787993695964	290.898930173977	259.205785604048	342.033552064512
